name,datetime,log_temp,feelslike,log_precip,precipprob,precipcover,log_humidity,log_dew,log_windspeed,log_windgust,winddir,log_solarradiation,solarenergy,uvindex,cloudcover,log_pressure,visibility,snowdepth,severerisk,year,month,day,season_Dry,season_Wet
india,2022-11-22,4.197201947661808,65.5,0.0,0,0,4.0163830207523885,3.879499813722586,2.322387720290225,2.8791984572980396,257.9,5.194622130209272,15.4,7,1.1,6.922742408790385,1.5,0,14,2022,11,22,True,False
india,2022-11-23,4.194189897191817,65.3,0.0,0,0,3.927896354584436,3.8088822465086327,2.517696472610991,2.975529566236472,264.2,5.207845463383961,15.6,7,0.0,6.923037902513294,1.7,0,14,2022,11,23,True,False
india,2022-11-24,4.189654742026425,65.0,0.0,0,0,3.960813169597578,3.8394523125933104,2.066862759472976,2.91235066461494,274.7,5.198497031265826,15.6,7,0.0,6.922939414307177,1.6,0,14,2022,11,24,True,False
india,2022-11-25,4.188138441508461,64.9,0.0,0,0,4.021773869387265,3.8501476017100584,2.066862759472976,2.5572273113676265,286.5,5.180096735160606,15.4,7,5.1,6.925202192585858,1.5,0,14,2022,11,25,True,False
india,2022-11-26,4.1728476237100445,63.9,0.0,0,0,4.119037174812473,3.912023005428146,2.2082744135228043,2.975529566236472,268.8,5.176149732573829,15.4,7,8.2,6.922249725132589,1.3,0,14,2022,11,26,True,False
india,2022-11-27,4.168214410788556,63.6,0.0,0,0,4.138361447638875,3.899950424193877,1.7404661748405046,2.6390573296152584,273.1,5.172754143572691,15.4,7,10.1,6.9203753103382395,1.2,0,14,2022,11,27,True,False
india,2022-11-28,4.174387269895637,64.0,0.0,0,0,4.135166556742356,3.906004933102583,1.667706820558076,2.379546134130174,266.0,5.163642463221435,15.1,7,0.8,6.921756798617951,1.1,0,14,2022,11,28,True,False
india,2022-11-29,4.1666652238017265,63.5,0.0,0,0,4.1956970564823886,3.9357395320454622,1.4816045409242156,2.4595888418037104,306.7,5.154446996128335,15.1,7,4.7,6.923923860143721,0.9,0,14,2022,11,29,True,False
india,2022-11-30,4.165113633110308,63.4,0.0,0,0,4.204692619390966,3.9454577815143836,2.066862759472976,2.5877640352277083,266.6,5.134032172240181,14.5,6,6.6,6.92510391731675,1.0,0,14,2022,11,30,True,False
india,2022-12-01,4.163559631243574,63.3,0.0,0,0,4.248495242049359,3.970291913552122,2.2082744135228043,2.785011242238338,253.7,5.1480757032174935,14.8,7,3.0,6.924022251446009,0.9,0,14,2022,12,1,True,False
india,2022-12-02,4.174387269895637,64.0,0.0,0,0,4.197201947661808,3.9473901492654373,1.667706820558076,2.272125885509337,237.7,5.129306823813755,14.3,6,18.0,6.922939414307177,1.0,0,14,2022,12,2,True,False
india,2022-12-03,4.1728476237100445,63.9,0.0,0,0,4.264087336809195,3.9908341858524357,1.4816045409242156,2.174751721484161,329.1,5.117993812416755,14.2,6,3.3,6.923727048491836,1.0,0,14,2022,12,3,True,False
india,2022-12-04,4.1666652238017265,63.5,0.0,100,4,4.320151230955794,4.012772908528289,1.916922612182061,2.714694743820879,261.7,5.125153747538848,14.5,6,1.7,6.924317367281115,0.9,0,14,2022,12,4,True,False
india,2022-12-05,4.144720769547168,62.1,0.0,0,0,4.254193263163997,3.9415818076696905,2.0014800002101243,2.5726122302071057,289.0,5.13167228913909,14.6,6,0.0,6.9258898491776195,0.9,0,14,2022,12,5,True,False
india,2022-12-06,4.123903364463645,60.8,0.0,0,0,4.273884476054178,3.9396381724611196,2.33214389523559,3.0492730404820207,255.5,5.133442723357803,14.6,6,0.0,6.924809033547964,1.1,0,14,2022,12,6,True,False
india,2022-12-07,4.130354999745133,61.2,0.0,0,0,4.225372824628505,3.910021002757473,2.517696472610991,3.190476350346503,267.1,5.133442723357803,14.6,6,0.0,6.923923860143721,1.3,0,14,2022,12,7,True,False
india,2022-12-08,4.155753190350744,62.8,0.0,0,0,4.152613470346076,3.906004933102583,2.424802725718295,2.9856819377004897,292.0,5.113191882421348,14.3,6,0.0,6.92461239604856,1.4,0,14,2022,12,8,True,False
india,2022-12-09,4.163559631243574,63.3,0.0,0,0,4.186619838331271,3.9160150266976834,2.322387720290225,2.772588722239781,308.1,5.103518288242969,14.2,6,0.0,6.923530198097499,1.3,0,14,2022,12,9,True,False
india,2022-12-10,4.169761201506855,63.7,0.0,0,0,4.252771798816619,3.9684033388642534,2.066862759472976,2.653241964607215,287.7,5.103518288242969,14.2,6,0.4,6.923825459159632,1.3,0,14,2022,12,10,True,False
india,2022-12-11,4.178992036282385,64.3,0.0,0,0,4.220977213155467,3.9627161197436642,2.066862759472976,2.72785282839839,263.5,5.114394528387108,14.2,6,0.0,6.9242190050128025,1.3,0,14,2022,12,11,True,False
india,2022-12-12,4.168214410788556,63.6,0.0,0,0,4.128745988939433,3.8979240810486444,2.2082744135228043,2.928523523860541,267.1,5.12574810119676,14.4,6,0.0,6.923431758367145,1.6,0,14,2022,12,12,True,False
india,2022-12-13,4.1713056033582285,63.8,0.0,0,0,4.030694535145645,3.835141961092188,2.517696472610991,3.1612467120315646,271.7,5.12574810119676,14.4,6,0.0,6.924710719631551,1.6,0,14,2022,12,13,True,False
